Gene	Transcript	Chrom	Start	End	Strand	ExonCount
BFSP2	NM_003571	chr3	133118900	133194052	+	7
CDV3	NM_017548	chr3	133292530	133309105	+	5
TOPBP1	NM_007027	chr3	133319082	133380785	-	28
TF	NM_001063	chr3	133465237	133515485	+	17
SRPRB	NM_001379313	chr3	133524659	133540336	+	7
RAB6B	NM_016577	chr3	133543079	133614726	-	8
SLCO2A1	NM_005630	chr3	133651545	133748769	-	14
RYK	NM_002958	chr3	133875977	133969701	-	17
AMOTL2	NM_016201	chr3	134074189	134093289	-	10
ANAPC13	NM_015391	chr3	134196548	134204827	-	3
CEP63	NM_001353108	chr3	134204899	134283873	+	15
KY	NM_178554	chr3	134318765	134369864	-	11
EPHB1	NM_004441	chr3	134514102	134979309	+	16
PPP2R3A	NM_002718	chr3	135684570	135866736	+	14
MSL2	NM_018133	chr3	135867759	135915177	-	2
PCCB	NM_000532	chr3	135969182	136049011	+	15
STAG1	NM_005862	chr3	136055078	136471220	-	34
SLC35G2	NM_025246	chr3	136537968	136574730	+	2
NCK1	NM_001291999	chr3	136581050	136670448	+	4
IL20RB	NM_144717	chr3	136676825	136729927	+	7
SOX14	NM_004189	chr3	137483157	137485176	+	1
CLDN18	NM_016369	chr3	137729007	137752491	+	5
DZIP1L	NM_173543	chr3	137780832	137834450	-	16
A4GNT	NM_016161	chr3	137842555	137851232	-	3
DBR1	NM_016216	chr3	137879830	137893763	-	8
ARMC8	NM_001363941	chr3	137906143	138017215	+	22
NME9	NM_001349018	chr3	138019841	138048693	-	11
MRAS	NM_001085049	chr3	138067421	138124375	+	6
ESYT3	NM_031913	chr3	138153458	138198767	+	23
CEP70	NM_024491	chr3	138213186	138313102	-	18
FAIM	NM_001033031	chr3	138327613	138352218	+	6
PIK3CB	NM_006219	chr3	138371540	138553770	-	24
FOXL2	NM_023067	chr3	138663066	138665979	-	1
FOXL2NB	NM_001040061	chr3	138666059	138672832	+	3
PRR23A	NM_001134659	chr3	138722804	138725110	-	1
PRR23B	NM_001013650	chr3	138737873	138739768	-	1
PRR23C	NM_001134657	chr3	138760944	138763734	-	1
MRPS22	NM_020191	chr3	139062862	139075971	+	8
COPB2	NM_004766	chr3	139076248	139108489	-	22
RBP2	NM_004164	chr3	139171726	139195358	-	4
RBP1	NM_002899	chr3	139236280	139258584	-	4
CLSTN2	NM_022131	chr3	139654027	140296239	+	17
TRIM42	NM_152616	chr3	140396906	140419992	+	5
SLC25A36	NM_001104647	chr3	140660678	140699837	+	7
SPSB4	NM_080862	chr3	140770189	140867453	+	3
PXYLP1	NM_001037172	chr3	140950667	141013766	+	6
ZBTB38	NM_001376113	chr3	141087346	141168634	+	6
RASA2	NM_006506	chr3	141205869	141334186	+	24
RNF7	NM_014245	chr3	141457140	141466402	+	3
GRK7	NM_139209	chr3	141482250	141538194	+	6
ATP1B3	NM_001679	chr3	141595485	141645391	+	7
TFDP2	NM_001178139	chr3	141663270	141868386	-	13
GK5	NM_001039547	chr3	141876369	141944427	-	16
XRN1	NM_001282857	chr3	142025452	142166879	-	41
ATR	NM_001184	chr3	142168077	142297575	-	47
PLS1	NM_001145319	chr3	142315235	142432506	+	16
TRPC1	NM_001251845	chr3	142442876	142526730	+	13
PCOLCE2	NM_013363	chr3	142536716	142607925	-	9
PAQR9	NM_198504	chr3	142673427	142682516	-	1
U2SURP	NM_001080415	chr3	142720412	142779567	+	28
CHST2	NM_004267	chr3	142838613	142842856	+	2
SLC9A9	NM_173653	chr3	142984064	143567310	-	16
DIPK2A	NM_173552	chr3	143690665	143711210	+	3
PLOD2	NM_182943	chr3	145787227	145878971	-	20
PLSCR4	NM_020353	chr3	145910122	145968892	-	9
PLSCR1	NM_021105	chr3	146232967	146262394	-	9
PLSCR5	NM_001085420	chr3	146303624	146323133	-	8
ZIC4	NM_032153	chr3	147103833	147124330	-	5
ZIC1	NM_003412	chr3	147127152	147134506	+	3
AGTR1	NM_000685	chr3	148415690	148460790	+	3
CPB1	NM_001871	chr3	148545598	148577974	+	11
CPA3	NM_001870	chr3	148583083	148614990	+	11
GYG1	NM_004130	chr3	148709327	148749562	+	8
HLTF	NM_003071	chr3	148747914	148804320	-	25
HPS3	NM_032383	chr3	148847425	148891519	+	17
CP	NM_000096	chr3	148890284	148939616	-	19
TM4SF18	NM_138786	chr3	149036285	149051423	-	6
TM4SF1	NM_014220	chr3	149086809	149095436	-	5
TM4SF4	NM_004617	chr3	149192484	149221181	+	5
WWTR1	NM_015472	chr3	149235022	149375812	-	7
COMMD2	NM_016094	chr3	149456259	149470276	-	5
ANKUB1	NM_001144960	chr3	149478887	149510341	-	6
RNF13	NM_183381	chr3	149531002	149679926	+	10
PFN2	NM_053024	chr3	149682691	149688682	-	3
TSC22D2	NM_001303264	chr3	150126085	150184209	+	3
SERP1	NM_014445	chr3	150259785	150264283	-	3
EIF2A	NM_032025	chr3	150264574	150303803	+	14
SELENOT	NM_016275	chr3	150321108	150348223	+	6
ERICH6	NM_152394	chr3	150377672	150421707	-	14
SIAH2	NM_005067	chr3	150458912	150480956	-	2
MINDY4B	NM_001351281	chr3	150588163	150623226	-	12
CLRN1	NM_174878	chr3	150644354	150690514	-	3
GPR171	NM_013308	chr3	150915619	150921003	-	3
P2RY14	NM_014879	chr3	150929905	150996330	-	3
GPR87	NM_023915	chr3	151011874	151034608	-	3
P2RY13	NM_176894	chr3	151044100	151047337	-	2
P2RY12	NM_022788	chr3	151054631	151102541	-	3
IGSF10	NM_178822	chr3	151153991	151178849	-	8
AADACL2	NM_207365	chr3	151451715	151479127	+	5
AADAC	NM_001086	chr3	151531904	151546276	+	5
SUCNR1	NM_033050	chr3	151591431	151602407	+	3
MBNL1	NM_021038	chr3	151986718	152183569	+	10
P2RY1	NM_002563	chr3	152552920	152559228	+	1
RAP2B	NM_002886	chr3	152880015	152888416	+	1
ARHGEF26	NM_015595	chr3	153839179	153975614	+	15
DHX36	NM_020865	chr3	153990335	154042276	-	25
GPR149	NM_001038705	chr3	154052732	154147979	-	4
MME	NM_007289	chr3	154798108	154901493	+	23
STRIT1	NM_001352129	chr3	155008016	155011472	-	3
PLCH1	NM_014996	chr3	155197670	155462860	-	23
C3orf33	NM_001308229	chr3	155480406	155524067	-	5
SLC33A1	NM_004733	chr3	155538813	155572216	-	6
GMPS	NM_003875	chr3	155588439	155661809	+	16
KCNAB1	NM_172160	chr3	155838367	156256394	+	14
SSR3	NM_007107	chr3	156257342	156272906	-	5
TIPARP	NM_015508	chr3	156392379	156424559	+	6
LEKR1	NM_001004316	chr3	156544142	156763918	+	13
CCNL1	NM_020307	chr3	156865342	156877936	-	11
VEPH1	NM_001167912	chr3	156977531	157221205	-	14
PTX3	NM_002852	chr3	157154639	157161422	+	3
SHOX2	NM_001163678	chr3	157813694	157824209	-	5
RSRC1	NM_001271838	chr3	157827878	158263519	+	10
MLF1	NM_001369783	chr3	158288983	158324245	+	8
GFM1	NM_024996	chr3	158362316	158413370	+	18
LXN	NM_020169	chr3	158384203	158390437	-	6
RARRES1	NM_206963	chr3	158414681	158450246	-	6
MFSD1	NM_022736	chr3	158519843	158547505	+	16
IQCJ	NM_001042706	chr3	158787108	158981536	+	4
SCHIP1	NM_014575	chr3	158991033	159615148	+	8
C3orf80	NM_001168214	chr3	159943209	159946000	+	1
IFT80	NM_020800	chr3	159974774	160117013	-	20
SMC4	NM_001002800	chr3	160117438	160152741	+	24
TRIM59	NM_173084	chr3	160153291	160167574	-	3
KPNA4	NM_002268	chr3	160212795	160283359	-	17
ARL14	NM_025047	chr3	160394948	160396236	+	1
PPM1L	NM_139245	chr3	160474019	160796690	+	4
B3GALNT1	NM_003781	chr3	160801671	160823137	-	5
NMD3	NM_015938	chr3	160939099	160970095	+	16
SPTSSB	NM_001040100	chr3	161062586	161089305	-	3
OTOL1	NM_001080440	chr3	161214596	161221730	+	4
SI	NM_001041	chr3	164696686	164796284	-	48
SLITRK3	NM_001318810	chr3	164904508	164914172	-	2
BCHE	NM_000055	chr3	165490692	165555211	-	4
ZBBX	NM_001199201	chr3	166957631	167098085	-	22
SERPINI2	NM_006217	chr3	167159577	167191830	-	9
WDR49	NM_001366157	chr3	167196472	167371730	-	19
PDCD10	NM_007217	chr3	167401086	167452680	-	9
SERPINI1	NM_001122752	chr3	167453509	167543357	+	9
GOLIM4	NM_014498	chr3	167726477	167813712	-	16
MECOM	NM_004991	chr3	168801295	169381500	-	17
TERC	NR_001566	chr3	169482398	169482848	-	1
ACTRT3	NM_032487	chr3	169484709	169487349	-	2
MYNN	NM_018657	chr3	169491184	169507504	+	8
LRRC34	NM_001172779	chr3	169510791	169530692	-	11
LRRIQ4	NM_001080460	chr3	169539679	169555561	+	5
LRRC31	NM_024727	chr3	169556960	169587723	-	9
SAMD7	NM_001304366	chr3	169629360	169656963	+	9
SEC62	NM_003262	chr3	169684595	169716161	+	8
GPR160	NM_014373	chr3	169755783	169803180	+	4
PHC3	NM_024947	chr3	169805372	169899521	-	15
PRKCI	NM_002740	chr3	169940212	170023765	+	18
SKIL	NM_005414	chr3	170075503	170114623	+	7
CLDN11	NM_005602	chr3	170136656	170152479	+	3
SLC7A14	NM_020949	chr3	170177336	170303864	-	8
RPL22L1	NM_001099645	chr3	170582664	170587984	-	4
EIF5A2	NM_020390	chr3	170606207	170626426	-	5
SLC2A2	NM_000340	chr3	170714136	170744509	-	11
TNIK	NM_015028	chr3	170776203	171178194	-	33
PLD1	NM_002662	chr3	171318194	171528273	-	27
TMEM212	NM_001164436	chr3	171561139	171577108	+	5
FNDC3B	NM_022763	chr3	171757368	172119459	+	26
GHSR	NM_198407	chr3	172161081	172166246	-	2
TNFSF10	NM_003810	chr3	172223298	172241220	-	5
NCEH1	NM_020792	chr3	172348039	172428857	-	5
ECT2	NM_001258315	chr3	172468516	172539264	+	25
SPATA16	NM_031955	chr3	172607147	172859025	-	11
NLGN1	NM_001365925	chr3	173115534	174012162	+	7
NAALADL2	NM_207015	chr3	174577124	175528336	+	14
TBL1XR1	NM_024665	chr3	176737132	176915270	-	16
KCNMB2	NM_181361	chr3	178254224	178562217	+	5
ZMAT3	NM_022470	chr3	178735011	178789597	-	6
PIK3CA	NM_006218	chr3	178866145	178957881	+	21
KCNMB3	NM_171830	chr3	178960552	178969645	-	3
ZNF639	NM_001303426	chr3	179040819	179056371	+	6
MFN1	NM_033540	chr3	179065497	179112724	+	18
GNB4	NM_021629	chr3	179113876	179169258	-	10
ACTL6A	NM_004301	chr3	179280714	179306195	+	14
MRPL47	NM_020409	chr3	179306073	179322426	-	7
NDUFB5	NM_002492	chr3	179322582	179345435	+	6
USP13	NM_003940	chr3	179370828	179507189	+	21
PEX5L	NM_016559	chr3	179512746	179754725	-	15
TTC14	NM_133462	chr3	180319951	180328918	+	12
CCDC39	NM_181426	chr3	180331796	180397277	-	20
FXR1	NM_005087	chr3	180630458	180700541	+	17
DNAJC19	NM_145261	chr3	180701497	180707524	-	6
SOX2	NM_003106	chr3	181429713	181432224	+	1
ATP11B	NM_014616	chr3	182511292	182639417	+	30
DCUN1D1	NM_020640	chr3	182655862	182698326	-	7
MCCC1	NM_020166	chr3	182733006	182817284	-	19
LAMP3	NM_014398	chr3	182840003	182880522	-	6
MCF2L2	NM_015078	chr3	182895829	183146407	-	30
B3GNT5	NM_032047	chr3	182971041	182991173	+	2
KLHL6	NM_130446	chr3	183205339	183273494	-	7
KLHL24	NM_017644	chr3	183353411	183402307	+	8
YEATS2	NM_018023	chr3	183415585	183530412	+	31
MAP6D1	NM_024871	chr3	183533710	183543365	-	3
PARL	NM_018622	chr3	183547059	183602668	-	10
ABCC5	NM_005688	chr3	183637722	183735672	-	30
HTR3D	NM_001145143	chr3	183749530	183757157	+	8
HTR3C	NM_130770	chr3	183770835	183778461	+	9
HTR3E	NM_001256613	chr3	183814852	183824783	+	9
EIF2B5	NM_003907	chr3	183853146	183863099	+	16
DVL3	NM_004423	chr3	183873165	183891402	+	15
AP2M1	NM_004068	chr3	183892643	183901879	+	12
ABCF3	NM_018358	chr3	183903863	183911795	+	21
ALG3	NM_005787	chr3	183960089	183966750	-	9
EEF1AKMT4	NM_032331	chr3	183967460	183976547	+	3
CAMK2N2	NM_033259	chr3	183977001	183979341	-	2
ECE2	NM_001100121	chr3	183993810	184010819	+	19
PSMD2	NM_002808	chr3	184017029	184026838	+	21
EIF4G1	NM_198241	chr3	184032394	184053141	+	33
FAM131A	NM_144635	chr3	184055388	184064063	+	6
CLCN2	NM_004366	chr3	184063973	184079393	-	24
POLR2H	NM_006232	chr3	184079498	184086379	+	6
THPO	NM_000460	chr3	184089723	184095995	-	6
CHRD	NM_003741	chr3	184097861	184107623	+	23
EPHB3	NM_004443	chr3	184279573	184300196	+	16
MAGEF1	NM_022149	chr3	184428152	184429852	-	1
VPS8	NM_001009921	chr3	184529954	184770392	+	48
C3orf70	NM_001025266	chr3	184794626	184870848	-	2
EHHADH	NM_001966	chr3	184908412	184971837	-	7
MAP3K13	NM_004721	chr3	185080924	185206882	+	14
TMEM41A	NM_080652	chr3	185207389	185216823	-	5
LIPH	NM_139248	chr3	185224050	185270376	-	10
SENP2	NM_021627	chr3	185304083	185351339	+	17
IGF2BP2	NM_006548	chr3	185360918	185542830	-	16
TRA2B	NM_004593	chr3	185632346	185655802	-	9
ETV5	NM_004454	chr3	185764103	185826878	-	13
DGKG	NM_001346	chr3	185864990	186080023	-	25
CRYGS	NM_017541	chr3	186256232	186262169	-	3
TBCCD1	NM_018138	chr3	186263856	186285128	-	8
DNAJB11	NM_016306	chr3	186288509	186303582	+	10
AHSG	NM_001622	chr3	186330849	186339107	+	7
FETUB	NM_014375	chr3	186358188	186370930	+	7
HRG	NM_000412	chr3	186383803	186396023	+	7
KNG1	NM_001102416	chr3	186435148	186462199	+	10
EIF4A2	NM_001967	chr3	186501366	186507686	+	11
RFC4	NM_002916	chr3	186507689	186524271	-	11
ADIPOQ	NM_004797	chr3	186560499	186576252	+	3
ST6GAL1	NM_173216	chr3	186648315	186796341	+	8
RPL39L	NM_052969	chr3	186838736	186857284	-	3
RTP1	NM_153708	chr3	186915274	186919250	+	2
MASP1	NM_139125	chr3	186951870	187009525	-	11
RTP4	NM_022147	chr3	187086173	187089864	+	2
SST	NM_001048	chr3	187386700	187388182	-	2
RTP2	NM_001004312	chr3	187416047	187420345	-	2
BCL6	NM_001706	chr3	187439169	187463256	-	10
LPP	NM_001375462	chr3	187871945	188608460	+	12
TPRG1	NM_198485	chr3	188889760	189043093	+	6
TP63	NM_003722	chr3	189349178	189615065	+	14
P3H2	NM_018192	chr3	189674517	189838686	-	15
CLDN1	NM_021101	chr3	190023496	190040235	-	4
CLDN16	NM_006580	chr3	190105952	190129927	+	5
TMEM207	NM_207316	chr3	190146444	190167690	-	5
IL1RAP	NM_002182	chr3	190231874	190369303	+	12
GMNC	NM_001146686	chr3	190570526	190580483	-	5
OSTN	NM_198184	chr3	190917030	190983404	+	5
UTS2B	NM_198152	chr3	190984957	191048325	-	9
CCDC50	NM_178335	chr3	191047183	191116448	+	12
PYDC2	NM_001083308	chr3	191178952	191179245	+	1
FGF12	NM_004113	chr3	191857179	192445330	-	6
MB21D2	NM_178496	chr3	192514604	192635645	-	2
PLAAT1	NM_020386	chr3	192959011	192988644	+	4
ATP13A5	NM_198505	chr3	192992578	193096542	-	30
ATP13A4	NM_032279	chr3	193116756	193272684	-	30
OPA1	NM_130837	chr3	193310997	193415600	+	31
HES1	NM_005524	chr3	193853937	193856521	+	4
CPN2	NM_001080513	chr3	194060497	194072057	-	2
LRRC15	NM_130830	chr3	194075978	194090472	-	2
GP5	NM_004488	chr3	194115550	194119995	-	2
ATP13A3	NM_001367549	chr3	194123406	194207731	-	34
TMEM44	NM_001011655	chr3	194308407	194354148	-	10
LSG1	NM_018385	chr3	194361520	194392920	-	14
FAM43A	NM_153690	chr3	194406612	194409766	+	1
XXYLT1	NM_152531	chr3	194789013	194991888	-	4
ACAP2	NM_012287	chr3	194995474	195163749	-	23
PPP1R2	NM_006241	chr3	195241224	195270148	-	6
APOD	NM_001647	chr3	195295576	195310811	-	5
MUC20	NM_001282506	chr3	195447849	195460422	+	4
MUC4	NM_018406	chr3	195473642	195538800	-	25
TNK2	NM_001382273	chr3	195590235	195635422	-	16
TFRC	NM_001128148	chr3	195776155	195808961	-	19
ZDHHC19	NM_001039617	chr3	195924323	195938271	-	8
SLC51A	NM_152672	chr3	195943405	195960298	+	9
PCYT1A	NM_001312673	chr3	195961239	196014597	-	9
DYNLT2B	NM_152773	chr3	196018090	196045111	-	5
TM4SF19	NM_138461	chr3	196050418	196065259	-	5
UBXN7	NM_015562	chr3	196074533	196159298	-	11
RNF168	NM_152617	chr3	196195654	196230639	-	6
SMCO1	NM_001077657	chr3	196233750	196242217	-	3
WDR53	NM_182627	chr3	196281048	196295425	-	4
FBXO45	NM_001105573	chr3	196295531	196315930	+	3
NRROS	NM_198565	chr3	196366565	196388875	+	3
CEP19	NM_032898	chr3	196433148	196439121	-	3
PIGX	NM_017861	chr3	196439248	196462878	+	6
PAK2	NM_002577	chr3	196466728	196559518	+	15
SENP5	NM_152699	chr3	196594791	196661585	+	10
NCBP2	NM_007362	chr3	196662277	196669399	-	4
NCBP2AS2	NM_001355243	chr3	196669545	196670414	+	1
PIGZ	NM_025163	chr3	196673227	196695704	-	3
MELTF	NM_005929	chr3	196728611	196756688	-	16
DLG1	NM_001366207	chr3	196769431	197025483	-	25
BDH1	NM_203314	chr3	197236654	197282839	-	8
RUBCN	NM_014687	chr3	197395738	197463775	-	20
FYTTD1	NM_032288	chr3	197476754	197514467	+	9
LRCH3	NM_001365715	chr3	197518125	197615307	+	21
IQCG	NM_032263	chr3	197615948	197686862	-	12
RPL35A	NM_000996	chr3	197677061	197683481	+	5
LMLN	NM_001136049	chr3	197687071	197770591	+	17
ZNF595	NM_182524	chr4	53215	88096	+	9
ZNF718	NM_001039127	chr4	124383	157952	+	6
ZNF732	NM_001137608	chr4	264464	299263	-	4
ZNF141	NM_003441	chr4	331603	378657	+	4
ZNF721	NM_133474	chr4	433777	492945	-	3
PIGG	NM_001127178	chr4	492999	533989	+	13
TMEM271	NM_001362796	chr4	567669	570084	-	1
PDE6B	NM_000283	chr4	619362	664571	+	22
ATP5ME	NM_007100	chr4	666225	668065	-	4
MYL5	NM_002477	chr4	671711	675817	+	7
SLC49A3	NM_032219	chr4	675618	682940	-	10
PCGF3	NM_006315	chr4	699621	764768	+	11
CPLX1	NM_006651	chr4	778745	819917	-	4
GAK	NM_005255	chr4	843065	926104	-	28
TMEM175	NM_032326	chr4	926248	952444	+	11
DGKQ	NM_001347	chr4	952675	967357	-	23
IDUA	NM_000203	chr4	980832	998352	+	14
SLC26A1	NM_022042	chr4	981445	987192	-	3
FGFRL1	NM_001004356	chr4	1005414	1020686	+	7
RNF212	NM_001131034	chr4	1065266	1107352	-	10
SPON2	NM_012445	chr4	1160720	1166371	-	6
CTBP1	NM_001012614	chr4	1205233	1242918	-	10
MAEA	NM_001017405	chr4	1283679	1333925	+	9
UVSSA	NM_020894	chr4	1340996	1381837	+	14
NKX1-1	NM_001290079	chr4	1396720	1400230	-	2
FAM53A	NM_001174070	chr4	1641614	1686040	-	5
SLBP	NM_006527	chr4	1694458	1714046	-	8
TMEM129	NM_001127266	chr4	1717679	1723050	-	4
TACC3	NM_006342	chr4	1723248	1746898	+	16
FGFR3	NM_000142	chr4	1795020	1810594	+	18
LETM1	NM_012318	chr4	1813206	1857883	-	14
NSD2	NM_001042424	chr4	1873120	1983919	+	22
NELFA	NM_005663	chr4	1984450	2010701	-	11
NAT8L	NM_178557	chr4	2061054	2070816	+	3
POLN	NM_181808	chr4	2073645	2243848	-	26
HAUS3	NM_001303143	chr4	2230076	2243848	-	6
MXD4	NM_006454	chr4	2249159	2263836	-	6
ZFYVE28	NM_020972	chr4	2271324	2420372	-	13
CFAP99	NM_001193282	chr4	2420682	2464729	+	16
RNF4	NM_002938	chr4	2470833	2517584	+	8
FAM193A	NM_001366318	chr4	2538374	2734300	+	21
TNIP2	NM_024309	chr4	2743375	2758063	-	6
SH3BP2	NM_001122681	chr4	2794812	2842823	+	13
ADD1	NM_001354761	chr4	2845571	2931789	+	16
MFSD10	NM_001146069	chr4	2932294	2936552	-	13
NOP14	NM_001291978	chr4	2939663	2965133	-	18
GRK4	NM_182982	chr4	2965298	3042487	+	16
MSANTD1	NM_001042690	chr4	3250886	3258340	+	3
HGFAC	NM_001528	chr4	3443695	3451213	+	14
DOK7	NM_173660	chr4	3465033	3496209	+	7
LRPAP1	NM_002337	chr4	3505339	3534149	-	8
ADRA2C	NM_000683	chr4	3768112	3770253	+	1
OTOP1	NM_177998	chr4	4190453	4228656	-	6
TMEM128	NM_001297551	chr4	4237269	4249950	-	5
LYAR	NM_017816	chr4	4269428	4291881	-	10
ZBTB49	NM_145291	chr4	4291978	4323510	+	8
NSG1	NM_014392	chr4	4388829	4420785	+	5
STX18	NM_016930	chr4	4420695	4543775	-	11
MSX1	NM_002448	chr4	4861392	4865663	+	2
CYTL1	NM_018659	chr4	5016313	5021185	-	4
STK32B	NM_018401	chr4	5053207	5502716	+	12
EVC2	NM_147127	chr4	5564166	5710286	-	22
EVC	NM_153717	chr4	5712928	5816032	+	21
CRMP1	NM_001014809	chr4	5822491	5894813	-	14
C4orf50	NM_001364689	chr4	5958837	6020273	-	12
JAKMIP1	NM_001099433	chr4	6027926	6202276	-	21
WFS1	NM_006005	chr4	6271577	6304992	+	8
PPP2R2C	NM_020416	chr4	6322308	6474341	-	9
MAN2B2	NM_015274	chr4	6576916	6625089	+	19
MRFAP1	NM_033296	chr4	6642412	6644456	+	2
S100P	NM_005980	chr4	6695605	6698897	+	2
MRFAP1L1	NM_203462	chr4	6709428	6711592	-	2
BLOC1S4	NM_018366	chr4	6717901	6719391	+	1
KIAA0232	NM_014743	chr4	6784454	6885891	+	10
TBC1D14	NM_020773	chr4	6911553	7034841	+	14
TADA2B	NM_152293	chr4	7045099	7059679	+	2
GRPEL1	NM_025196	chr4	7060622	7069791	-	4
SORCS2	NM_020777	chr4	7194265	7744554	+	27
PSAPL1	NM_001085382	chr4	7432012	7436657	-	1
AFAP1	NM_001134647	chr4	7760441	7941588	-	18
ABLIM2	NM_001130083	chr4	7967054	8160540	-	21
SH3TC1	NM_018986	chr4	8201017	8242830	+	18
HTRA3	NM_053044	chr4	8271481	8308825	+	9
ACOX3	NM_003501	chr4	8368009	8442450	-	18
TRMT44	NM_152544	chr4	8442504	8478282	+	11
GPR78	NM_080819	chr4	8582119	8591750	+	3
CPZ	NM_001014447	chr4	8594492	8621479	+	11
HMX1	NM_018942	chr4	8868774	8873565	-	2
FAM90A26	NM_001358418	chr4	9174843	9178456	+	4
USP17L10	NM_001256852	chr4	9212383	9213975	+	1
USP17L11	NM_001256854	chr4	9217131	9218723	+	1
USP17L12	NM_001256853	chr4	9221878	9223470	+	1
USP17L13	NM_001256855	chr4	9226622	9228214	+	1
USP17L15	NM_001256894	chr4	9236111	9237772	+	1
USP17L17	NM_001256857	chr4	9245605	9247197	+	1
USP17L18	NM_001256859	chr4	9250356	9251948	+	1
USP17L19	NM_001256860	chr4	9255104	9256696	+	1
USP17L20	NM_001256861	chr4	9259850	9261442	+	1
USP17L21	NM_001256862	chr4	9264598	9266190	+	1
USP17L22	NM_001256863	chr4	9269345	9270937	+	1
USP17L24	NM_001242327	chr4	9326891	9328483	+	1
USP17L25	NM_001242326	chr4	9331637	9333229	+	1
USP17L26	NM_001242328	chr4	9336384	9337976	+	1
USP17L5	NM_001242329	chr4	9341129	9342721	+	1
USP17L27	NM_001242330	chr4	9345874	9347466	+	1
USP17L28	NM_001242331	chr4	9350619	9352211	+	1
USP17L29	NM_001242332	chr4	9355364	9356956	+	1
USP17L30	NM_001256867	chr4	9364855	9366447	+	1
DEFB131A	NM_001040448	chr4	9446260	9452240	+	2
DRD5	NM_000798	chr4	9783258	9785633	+	1
SLC2A9	NM_020041	chr4	9827848	10023121	-	12
WDR1	NM_017491	chr4	10075963	10118423	-	15
ZNF518B	NM_053042	chr4	10441504	10459050	-	3
CLNK	NM_052964	chr4	10488019	10686392	-	19
HS3ST1	NM_005114	chr4	11394774	11430518	-	2
RAB28	NM_001017979	chr4	13369348	13485964	-	7
NKX3-2	NM_001189	chr4	13542454	13546132	-	2
BOD1L1	NM_148894	chr4	13570362	13629349	-	26
CPEB2	NM_001177382	chr4	15004105	15071775	+	12
C1QTNF7	NM_031911	chr4	15429657	15447791	+	3
CC2D2A	NM_001378615	chr4	15471506	15603175	+	37
FBXL5	NM_012161	chr4	15606004	15656980	-	11
FAM200B	NM_001145191	chr4	15683450	15692070	+	2
BST1	NM_004334	chr4	15704688	15734410	+	9
CD38	NM_001775	chr4	15779951	15854855	+	8
FGFBP1	NM_005130	chr4	15937200	15940363	-	3
FGFBP2	NM_031950	chr4	15961868	15964798	-	2
PROM1	NM_006017	chr4	15969851	16085646	-	28
TAPT1	NM_153365	chr4	16162128	16228094	-	14
LDB2	NM_001290	chr4	16503164	16900268	-	8
QDPR	NM_000320	chr4	17488018	17513713	-	7
CLRN2	NM_001079827	chr4	17516788	17528727	+	3
LAP3	NM_015907	chr4	17578821	17609593	+	13
MED28	NM_025205	chr4	17616264	17635728	+	4
FAM184B	NM_015688	chr4	17630929	17783244	-	18
DCAF16	NM_017741	chr4	17802278	17812380	-	3
NCAPG	NM_022346	chr4	17812602	17846488	+	21
SLIT2	NM_004787	chr4	20253528	20622184	+	37
PACRGL	NM_001258345	chr4	20702081	20734180	+	9
KCNIP4	NM_025221	chr4	20730229	21950395	-	9
ADGRA3	NM_145290	chr4	22388999	22517689	-	19
PPARGC1A	NM_013261	chr4	23793644	23891670	-	13
DHX15	NM_001358	chr4	24529098	24586177	-	14
SOD3	NM_003102	chr4	24797195	24802464	+	2
LGI2	NM_018176	chr4	25000469	25032568	-	8
SEPSECS	NM_016955	chr4	25121636	25162071	-	11
PI4K2B	NM_018323	chr4	25235655	25280826	+	10
ZCCHC4	NM_024936	chr4	25314396	25372005	+	13
ANAPC4	NM_013367	chr4	25378885	25420120	+	29
SLC34A2	NM_006424	chr4	25657473	25680370	+	13
SEL1L3	NM_015187	chr4	25749055	25864610	-	24
SMIM20	NM_001145432	chr4	25915842	25931504	+	3
RBPJ	NM_015874	chr4	26322636	26436545	+	11
CCKAR	NM_000730	chr4	26483018	26492106	-	5
TBC1D19	NM_018317	chr4	26585706	26757845	+	21
STIM2	NM_020860	chr4	26862463	27027003	+	12
PCDH7	NM_001173523	chr4	30721991	31148422	+	3
ARAP2	NM_015230	chr4	36067626	36246136	-	33
DTHD1	NM_001170700	chr4	36283238	36349133	+	10
NWD2	NM_001144990	chr4	37246365	37451085	+	7
C4orf19	NM_001104629	chr4	37455547	37595132	+	4
RELL1	NM_001085400	chr4	37612256	37687998	-	7
PGM2	NM_018290	chr4	37828308	37864558	+	14
PTTG2	NM_006607	chr4	37962019	37962749	+	1
KLF3	NM_016531	chr4	38665820	38703138	+	6
TLR10	NM_030956	chr4	38773859	38784611	-	4
TLR1	NM_003263	chr4	38797876	38806412	-	4
TLR6	NM_006068	chr4	38825325	38858438	-	2
FAM114A1	NM_138389	chr4	38869427	38947360	+	15
TMEM156	NM_024943	chr4	38968365	39034029	-	7
KLHL5	NM_015990	chr4	39063852	39127853	+	11
WDR19	NM_025132	chr4	39184149	39287430	+	37
RFC1	NM_002913	chr4	39289076	39367982	-	25
KLB	NM_175737	chr4	39408550	39453153	+	5
RPL9	NM_000661	chr4	39455744	39460542	-	8
LIAS	NM_006859	chr4	39460676	39481126	+	11
UGDH	NM_003359	chr4	39500375	39529059	-	12
SMIM14	NM_174921	chr4	39547956	39640485	-	5
